"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "Ini", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\debug.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\dialog-boxes.css", "CSS", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\gdpr-optin-notice.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\admin\plugins.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\customizer.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\css\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\img\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\nojquery.ba-postmessage.js", "JavaScript", 0, 0, 80, 0, 0, 0, 40, 20, 140
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\nojquery.ba-postmessage.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 11, 0, 12
