"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\EmptyArgumentException.php", "PHP", 8, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\Exception.php", "PHP", 44, 0, 0, 0, 0, 19, 11, 74
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\InvalidArgumentException.php", "PHP", 7, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\OAuthException.php", "PHP", 11, 0, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\Exceptions\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\FreemiusBase.php", "PHP", 113, 0, 0, 0, 0, 80, 23, 216
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\FreemiusWordPress.php", "PHP", 410, 0, 0, 0, 0, 202, 100, 712
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\sdk\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\supplements\fs-essential-functions-1.1.7.1.php", "PHP", 16, 0, 0, 0, 0, 22, 6, 44
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\supplements\fs-essential-functions-2.2.1.php", "PHP", 25, 0, 0, 0, 0, 14, 6, 45
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\supplements\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\languages\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
